name,value,year,lastValue,rank
Louis Vuitton,6708,2003,6742.6,36
Banco Santander,6702,2017,6654.1,67
adidas,6699,2012,6644.5,55
AXA,6694,2010,6677.1,49
AXA,6694,2011,6694,49
LEGO,6691,2016,6558.1,66
Kia,6683,2017,6647.3,68
Huawei,6676,2017,6591.9,69
Pepsi,6636,2000,6636,25
Morgan Stanley,6634,2011,6661.7,50
PayPal,6621,2018,6499.7,73
Gucci,6619,2005,6428.6,39
Nestl??,6613,2011,6606.5,51
Louis Vuitton,6602,2004,6612.6,36
Apple,6594,2000,6594,26
Canon,6580,2001,6580,28
Nintendo,6559,2006,6550.1,43
Colgate,6550,2009,6538.7,46
Nestl??,6548,2010,6525.1,50
IKEA,6545,2002,6491,33
LEGO,6533,2018,6582.1,74
AXA,6525,2009,6572.6,47
Volkswagen,6511,2007,6463.1,46
Discovery,6509,2015,6472.4,63
Volkswagen,6484,2009,6540.3,48
Nintendo,6479,2004,6650.1,37
Porsche,6471,2013,6338.8,59
Nintendo,6470,2005,6470.9,40
Colgate,6437,2008,6395.8,48
Panasonic,6436,2015,6422.7,64
Amazon,6434,2008,6331.7,49
Salesforce.com,6432,2018,6311.2,75
Volkswagen,6410,2004,6462.8,38
Morgan Stanley,6399,2009,6628.7,49
Pepsi,6394,2002,6376,34
L'Or??al,6392,2006,6353.3,44
Samsung,6374,2001,6258.9,29
Panasonic,6365,2016,6372.1,67
Danone,6363,2010,6322.7,51
Chanel,6355,2008,6302.5,50
Mastercard,6350,2017,6288.6,70
Morgan Stanley,6334,2014,6273,61
Kia,6326,2016,6260,68
Nestl??,6319,2009,6246.3,50
SAP,6307,2001,6289.8,30
Caterpillar,6306,2012,6235.2,56
Tiffany & Co.,6306,2015,6269,65
Panasonic,6303,2014,6254.8,62
Panasonic,6293,2018,6262,76
Shell,6288,2014,6212.7,63
Harley-Davidson,6266,2002,6192.6,35
Starbucks,6266,2015,6177.6,66
Adobe,6257,2015,6164.6,67
FedEx,6255,2017,6187.4,71
Johnson & Johnson,6231,2018,6212,77
Banco Santander,6223,2016,6210.4,69
Prada,6222,2015,6197.5,68
Land Rover,6221,2018,6208.4,78
Pepsi,6214,2001,6256.2,31
Nissan,6203,2013,6079.6,60
KFC,6192,2013,6172.2,61
Allianz,6184,2012,6100.1,57
Herm??s,6182,2012,6099.4,58
3M,6177,2014,6100.6,64
Audi,6171,2011,6100,52
adidas,6154,2011,6088.1,53
Discovery,6143,2014,6104.3,65
Accenture,6142,2005,6105,41
SAP,6135,2000,6135,27
Banco Santander,6097,2015,6025.5,69
Land Rover,6095,2017,6055.1,72
